latitude,longitude,crime_type,crime_severity,date,time,hour,area,lighting_score,cctv_score,crowd_density,police_proximity,is_night
12.980728,77.58769,Vehicle Theft,5.1,2023-12-21,23:59,23,Majestic,0.95,0.52,0.36,0.17,1
12.971488,77.661919,Eve Teasing,3.5,2023-11-07,22:17,22,Indiranagar,0.65,0.09,0.68,0.63,1
13.019538,77.589562,Vandalism,3.4,2024-09-11,03:39,3,Majestic,0.4,0.92,0.14,0.88,1
13.020241,77.594145,Chain Snatching,5.7,2024-10-28,20:49,20,Hebbal,0.29,0.57,0.66,0.13,1
13.00354,77.579165,Drug Offense,5.7,2024-12-02,00:30,0,Shivajinagar,0.47,0.45,0.72,0.24,1
12.935324,77.70667,Pickpocketing,3.8,2023-11-17,09:21,9,Marathahalli,0.88,0.32,0.99,0.41,0
12.968554,77.560032,Pickpocketing,3.7,2023-11-23,10:32,10,Majestic,0.32,0.12,0.5,0.23,0
12.907614,77.59714,Theft,4.5,2023-09-12,22:55,22,BTM Layout,0.97,0.9,0.83,0.94,1
12.878959,77.62037,Assault,9.0,2024-04-23,21:31,21,BTM Layout,0.55,0.31,0.12,0.95,1
12.957263,77.540146,Drug Offense,6.8,2023-02-19,23:13,23,Random Spread,0.15,0.49,0.89,0.69,1
12.985839,77.611015,Cybercrime,3.4,2023-05-18,00:54,0,Random Spread,0.89,0.73,0.79,0.43,1
12.991013,77.583814,Pickpocketing,3.1,2023-10-23,18:12,18,Shivajinagar,0.17,0.5,0.79,0.35,0
12.954406,77.606475,Vandalism,4.0,2024-02-08,03:08,3,Jayanagar,0.44,0.99,0.6,0.43,1
12.974723,77.605488,Robbery,7.5,2023-02-16,01:25,1,Shivajinagar,0.14,0.71,0.82,0.57,1
12.971137,77.541668,Robbery,7.0,2024-09-19,01:08,1,Chickpet,0.39,0.39,0.65,0.86,1
12.987636,77.58484,Vandalism,3.0,2024-07-30,02:34,2,Shivajinagar,0.37,0.82,0.43,0.71,1
12.968052,77.601248,Pickpocketing,4.1,2023-01-28,19:55,19,Shivajinagar,0.64,0.27,0.69,0.97,0
12.924771,77.625258,Vandalism,3.2,2023-06-24,03:03,3,Koramangala,0.57,0.72,0.8,0.44,1
12.959674,77.587183,Eve Teasing,3.8,2024-03-27,23:07,23,Chickpet,0.38,0.15,0.72,0.47,1
12.979017,77.661382,Vandalism,2.1,2023-05-22,23:46,23,Indiranagar,0.57,0.56,1.0,0.53,1
12.906876,77.607978,Pickpocketing,4.7,2023-12-17,09:29,9,Koramangala,0.59,0.68,0.88,0.71,0
12.930996,77.575344,Vehicle Theft,3.8,2023-11-02,22:15,22,Jayanagar,0.3,0.97,0.37,0.36,1
12.932633,77.605922,Eve Teasing,4.9,2024-07-27,15:20,15,Jayanagar,0.94,0.8,0.35,0.21,0
13.105664,77.590222,Drug Offense,6.0,2023-05-30,02:52,2,Yelahanka,0.36,0.29,0.74,0.41,1
12.911723,77.605314,Cybercrime,3.9,2024-07-05,23:30,23,BTM Layout,0.34,0.56,0.34,0.2,1
12.849836,77.693406,Vandalism,3.8,2023-08-20,22:42,22,Electronic City,0.67,0.05,0.47,0.75,1
12.963987,77.589619,Chain Snatching,6.9,2023-06-11,04:00,4,Chickpet,0.47,0.94,0.89,0.53,1
12.81259,77.644071,Eve Teasing,4.1,2023-03-02,09:20,9,Electronic City,0.92,0.09,0.62,0.58,0
12.952025,77.611003,Theft,5.5,2023-06-30,05:26,5,Koramangala,0.94,0.04,0.85,0.81,1
12.940431,77.620994,Robbery,6.1,2023-11-02,09:56,9,Koramangala,0.61,0.11,0.98,0.36,0
12.971609,77.639847,Drug Offense,6.5,2023-10-07,22:54,22,Domlur,0.27,0.11,0.25,0.51,1
12.877121,77.614656,Vehicle Theft,4.0,2023-10-30,00:47,0,Bannerghatta Road,0.61,0.76,0.26,0.87,1
12.924141,77.62881,Pickpocketing,2.3,2024-11-16,16:20,16,BTM Layout,0.19,0.98,0.53,0.94,0
12.962192,77.70132,Theft,5.0,2023-12-04,20:28,20,Marathahalli,0.37,0.72,0.11,0.69,1
12.900129,77.597845,Eve Teasing,4.2,2024-02-20,18:29,18,BTM Layout,0.72,0.92,0.9,0.79,0
13.036873,77.589835,Chain Snatching,5.8,2023-08-13,17:23,17,Hebbal,0.96,0.48,0.51,0.99,0
12.963545,77.764824,Assault,6.9,2024-07-04,00:58,0,Whitefield,0.82,0.83,0.79,0.71,1
12.840882,77.64454,Vandalism,2.9,2024-12-21,02:33,2,Electronic City,0.43,0.92,0.2,0.85,1
12.962107,77.739952,Drug Offense,6.0,2024-06-16,22:10,22,Whitefield,0.5,0.68,0.75,0.54,1
13.048844,77.617335,Drug Offense,5.4,2024-03-01,20:29,20,Hebbal,0.51,0.06,0.52,0.83,1
12.948749,77.645134,Theft,5.0,2024-08-15,01:00,1,Indiranagar,0.17,0.42,0.73,0.59,1
12.944377,77.596749,Theft,3.9,2023-10-21,02:59,2,Chickpet,0.47,0.77,0.79,0.98,1
12.938088,77.666797,Pickpocketing,4.6,2024-01-22,17:28,17,Koramangala,0.44,0.68,0.7,0.59,0
12.900941,77.608386,Assault,7.1,2023-08-17,00:25,0,Bannerghatta Road,0.85,0.76,0.98,0.52,1
12.974636,77.64739,Drug Offense,5.7,2024-04-16,02:52,2,Indiranagar,0.41,0.28,0.94,0.75,1
12.94473,77.630281,Chain Snatching,5.8,2023-01-17,20:26,20,BTM Layout,0.32,0.07,0.63,0.5,1
12.963107,77.639901,Theft,3.8,2024-07-06,19:25,19,Domlur,0.3,0.86,0.15,0.55,0
12.911946,77.582039,Vehicle Theft,4.7,2024-11-19,01:20,1,Jayanagar,0.84,0.24,0.89,0.99,1
13.123921,77.626037,Drug Offense,5.2,2024-08-28,00:17,0,Random Spread,0.89,0.91,0.66,0.48,1
12.959004,77.633577,Cybercrime,5.7,2024-06-21,11:41,11,Domlur,0.39,0.42,0.23,0.44,0
12.858836,77.623068,Drug Offense,7.6,2023-05-28,23:19,23,Electronic City,0.83,0.91,0.61,0.97,1
12.977231,77.535564,Drug Offense,5.8,2023-12-05,02:15,2,Rajajinagar,0.68,0.92,0.86,0.18,1
13.013259,77.593089,Eve Teasing,5.4,2023-02-10,21:43,21,Hebbal,0.89,0.19,0.79,0.75,1
12.931268,77.620136,Drug Offense,7.7,2023-11-07,23:55,23,Koramangala,0.96,0.02,0.94,0.97,1
12.948071,77.621985,Chain Snatching,4.7,2024-09-10,15:58,15,Koramangala,0.73,0.4,0.32,0.39,0
12.991536,77.591945,Vehicle Theft,4.1,2023-09-25,01:41,1,Chickpet,0.42,0.88,0.52,0.82,1
